Station,SampleDateTime,MeasurementValue
"ALIX LAKE, CENTRE COMPOSITE",06/11/2014 13:00:00,0.152
"ALIX LAKE, CENTRE COMPOSITE",07/08/2014 12:15:00,0.142
"ALIX LAKE, CENTRE COMPOSITE",08/13/2014 12:00:00,0.148
"ALIX LAKE, CENTRE COMPOSITE",09/08/2014 11:30:00,0.146
"ALIX LAKE, PROFILE",08/13/2014 12:15:00,0.144
"ALIX LAKE, PROFILE",08/13/2014 12:30:00,0.142
"ARM LAKE, COMPOSITE",06/08/2011 10:40:00,0.16
"ARM LAKE, COMPOSITE",08/16/2011 10:00:00,0.2
"ARM LAKE, COMPOSITE",09/07/2011 09:15:00,0.15
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/30/2011 11:15:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/21/2011 13:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/13/2011 12:30:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/02/2011 12:30:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/01/2011 11:30:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/13/2011 13:30:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/18/2011 14:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/30/2013 12:20:00,0.1
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/27/2013 13:30:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/16/2013 15:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/07/2013 12:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/27/2013 14:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/24/2013 11:45:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/21/2013 13:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN PROFILE",03/15/2012 14:00:00,0.16
"BAPTISTE LAKE, NORTH BASIN PROFILE",03/15/2012 14:15:00,0.15
"BAPTISTE LAKE, NORTH BASIN PROFILE",03/15/2012 14:30:00,0.18
"BAPTISTE LAKE, NORTH BASIN PROFILE",03/11/2014 12:30:00,0.14
"BAPTISTE LAKE, NORTH BASIN PROFILE",03/11/2014 12:45:00,0.14
"BAPTISTE LAKE, NORTH BASIN PROFILE",03/11/2014 13:00:00,0.14
