Station,SampleDateTime,MeasurementValue
"ADAMSON LAKE, COMPOSITE",06/25/2008 14:00:00,0.19
"ADAMSON LAKE, COMPOSITE",07/24/2008 12:50:00,0.18
"ADAMSON LAKE, COMPOSITE",08/13/2008 11:45:00,0.2
"ADAMSON LAKE, COMPOSITE",09/09/2008 10:45:00,0.2
"ADAMSON LAKE, COMPOSITE",10/07/2008 11:30:00,0.23
"ADAMSON LAKE, PROFILE",03/03/2009 13:15:00,0.34
"AGNES LAKE, COMPOSITE",10/26/1983 12:00:00,0.05
"AGNES LAKE, COMPOSITE",10/07/1987 12:00:00,0.05
"ALIX LAKE, CENTRE COMPOSITE",05/22/1996 14:30:00,0.19
"ALIX LAKE, CENTRE COMPOSITE",06/24/1996 14:15:00,0.2
"ALIX LAKE, CENTRE COMPOSITE",07/16/1996 11:11:00,0.18
"ALIX LAKE, CENTRE COMPOSITE",08/08/1996 09:15:00,0.18
"ALIX LAKE, CENTRE COMPOSITE",09/05/1996 13:40:00,0.18
"ALIX LAKE, CENTRE COMPOSITE",10/03/1996 14:45:00,0.2
"ALIX LAKE, CENTRE COMPOSITE",06/13/2007 13:00:00,0.16
"ALIX LAKE, CENTRE COMPOSITE",07/24/2007 12:20:00,0.16
"ALIX LAKE, CENTRE COMPOSITE",08/29/2007 12:00:00,0.18
"ALIX LAKE, CENTRE COMPOSITE",09/25/2007 12:45:00,0.16
"ALIX LAKE, PROFILE",03/06/1997 12:00:00,0.26
"AMISK LAKE, COMPOSITE",07/04/1983 14:00:00,0.13
"ANDREW LAKE, COMPOSITE",09/13/1983 12:00:00,0.14
"ANGLING LAKE, COMPOSITE",08/08/2004 07:45:00,0.25
"ANGLING LAKE, COMPOSITE",09/03/2004 07:30:00,0.21
"ANGLING LAKE, COMPOSITE",10/01/2004 09:00:00,0.19
"ANTLER LAKE, COMPOSITE",05/28/1987 11:30:00,0.11
"ANTLER LAKE, COMPOSITE",06/29/1987 11:00:00,0.12
"ANTLER LAKE, COMPOSITE",07/28/1987 15:00:00,0.15
"ANTLER LAKE, COMPOSITE",08/18/1987 09:00:00,0.12
"ANTLER LAKE, COMPOSITE",09/24/1987 12:00:00,0.11
"ANTLER LAKE, PROFILE AT CENTRE",01/27/1987 11:01:00,0.15
"ARCH LAKE, COMPOSITE",09/13/1983 12:00:00,0.14
"ARCHER LAKE (L66), COMPOSITE",08/05/1992 12:00:00,0.02
"ARCHER LAKE (L66), PROFILE",03/16/1989 13:01:00,0.04
"ASTOTIN LAKE, COMPOSITE",06/26/2008 11:15:00,0.25
"ASTOTIN LAKE, COMPOSITE",07/22/2008 11:00:00,0.26
"ASTOTIN LAKE, COMPOSITE",08/14/2008 12:45:00,0.25
"ASTOTIN LAKE, COMPOSITE",09/08/2008 10:15:00,0.24
"ASTOTIN LAKE, COMPOSITE",10/02/2008 11:00:00,0.25
"ASTOTIN LAKE, PROFILE",03/04/2009 11:30:00,0.3
"ASTOTIN LAKE, PROFILE",03/04/2009 11:40:00,0.32
"AUDET LAKE (L37), COMPOSITE",09/01/1983 12:00:00,0.24
"AUDET LAKE (L37), COMPOSITE",07/25/1988 13:00:00,0.29
"AUDET LAKE (L37), PROFILE AT CENTRE",03/09/1988 09:01:00,0.36
"AUGER LAKE, COMPOSITE",05/28/1986 17:00:00,0.34
"BANANA LAKE, COMPOSITE",06/24/1986 11:30:00,0.11
"BAPTISTE LAKE, COMPOSITE",10/20/1992 10:00:00,0.16
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/11/1983 14:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/09/1983 11:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/07/1983 11:00:00,0.16
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/07/1983 15:00:00,0.14
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/29/1983 12:00:00,0.1
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/03/1984 11:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/29/1984 10:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/28/1984 11:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/24/1984 11:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/21/1984 11:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/19/1984 12:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",02/21/1985 10:00:00,0.1
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/16/1985 10:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/04/1985 10:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/04/1985 11:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/01/1985 10:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/28/1985 11:00:00,0.1
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/30/1985 11:00:00,0.14
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/22/1985 10:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/05/1986 11:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/03/1986 11:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/07/1986 11:00:00,0.1
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/28/1986 11:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/25/1986 11:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/29/1986 11:00:00,0.09
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/06/1987 10:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/03/1987 11:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/02/1987 13:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/29/1987 13:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/08/1987 13:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/08/1987 12:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/28/1987 11:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/25/1988 13:00:00,0.1
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/14/1988 12:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/12/1988 12:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/09/1988 12:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",09/07/1988 15:30:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",10/04/1988 15:00:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/24/1989 12:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/22/1989 13:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",07/20/1989 14:30:00,0.13
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",08/15/1989 14:00:00,0.11
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",05/09/1990 15:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/07/1990 13:00:00,0.12
"BAPTISTE LAKE, NORTH BASIN COMPOSITE",06/28/1990 13:00:00,0.11
