Station,SampleDateTime,MeasurementValue
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/16/1984 11:45:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/13/1984 13:05:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/12/1984 10:45:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/13/1984 11:30:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/25/1984 15:00:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/04/1985 10:35:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/04/1985 09:20:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/04/1985 09:20:00,0.07
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/17/1987 11:00:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/27/1987 10:45:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/22/1987 12:30:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/22/1987 08:20:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/08/1991 12:30:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/11/1991 12:00:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/03/1992 11:00:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/10/2003 12:30:00,0.05
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/08/2003 12:45:00,0.07
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/14/2003 11:45:00,0.06
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/09/2003 11:20:00,0.05
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/07/2003 12:00:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/05/2003 13:20:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/09/2003 12:50:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/06/2004 11:30:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/02/2004 14:15:00,0.17
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/02/2004 12:30:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/21/2004 12:00:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/18/2004 12:45:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/08/2004 11:30:00,0.06
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/07/2004 11:00:00,0.06
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/11/2004 07:45:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/08/2004 11:45:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/06/2004 12:05:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/09/2004 12:45:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/08/2004 12:30:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/05/2005 11:50:00,0.19
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/01/2005 12:45:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/02/2005 10:15:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/06/2005 08:30:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/03/2005 10:30:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/31/2005 10:20:00,0.05
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/06/2005 11:40:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/10/2005 11:30:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/07/2005 11:00:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/04/2005 15:20:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/08/2005 12:15:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/07/2005 13:00:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/11/2006 13:30:00,0.05
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/07/2006 09:00:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/15/2006 12:30:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/19/2006 12:00:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/09/2006 13:00:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/07/2006 10:45:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/11/2006 11:00:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/09/2006 10:15:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/06/2006 14:40:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/03/2006 11:15:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/16/2006 11:50:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/13/2006 13:00:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/15/2007 12:45:00,0.17
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/14/2007 10:15:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/14/2007 10:45:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/14/2007 11:15:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/14/2007 11:10:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/06/2007 07:20:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/04/2007 12:15:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/02/2007 11:15:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/11/2007 10:45:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/10/2007 11:15:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/07/2007 12:15:00,0.13
