ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS163,14SWE03762,SAS,RED,05CD,1,AB05CD1070,"ALIX LAKE, CENTRE COMPOSITE",52.39048,-113.19853,0,13,133,N,Lake has a greenish/brown color. Zoohaul had approx. a 70/30 algae/zoo split. The algae was very fine. Outflow was barely flowing. Lots of amphipods visible. Veliger subtrates installed at main launch dock  and floating buoy.,06/11/2014 13:00:00,103124,532,FLUORIDE DISSOLVED,,0.152,mg/L,0.02,,,,,2924,0.02,34
ABS163,14SWE03834,SAS,RED,05CD,1,AB05CD1070,"ALIX LAKE, CENTRE COMPOSITE",52.39048,-113.19853,0,13,133,N,"Hot sunny day, a few boaters on the lake causing waves",07/08/2014 12:15:00,103124,532,FLUORIDE DISSOLVED,,0.142,mg/L,0.02,,,,,2924,0.02,34
ABS163,14SWE03923,SAS,RED,05CD,1,AB05CD1070,"ALIX LAKE, CENTRE COMPOSITE",52.39048,-113.19853,0,13,133,N,"Sunny, hot and light breeze. Little single cell to no algae on surface. Some boat traffic",08/13/2014 12:00:00,103124,532,FLUORIDE DISSOLVED,,0.148,mg/L,0.02,,,,,2924,0.02,34
ABS163,14SWE04030,SAS,RED,05CD,1,AB05CD1070,"ALIX LAKE, CENTRE COMPOSITE",52.39048,-113.19853,0,13,133,N,"Very windy, lots of snow. Foggy and cold. Metals taken from composite jug",09/08/2014 11:30:00,103124,532,FLUORIDE DISSOLVED,,0.146,mg/L,0.02,,,,,2924,0.02,34
ABS163,14SWE03927,SAS,RED,05CD,1,AB05CD1080,"ALIX LAKE, PROFILE",52.39048,-113.19853,0,1,17,N,,08/13/2014 12:15:00,103124,532,FLUORIDE DISSOLVED,,0.144,mg/L,0.02,,,,,2924,0.02,34
ABS163,14SWE03929,SAS,RED,05CD,1,AB05CD1080,"ALIX LAKE, PROFILE",52.39048,-113.19853,0,1,17,N,,08/13/2014 12:30:00,103124,532,FLUORIDE DISSOLVED,,0.142,mg/L,0.02,,,,,2924,0.02,34
ABS020,11SWE10021,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.74783,-110.58845,0,13,133,N,"Wind Speed: 5 km/h. Wind Dir: SE. % Cloud: 50%. Waves: 0 cm. -- Loons on the water. Winds started to pick up a bit, drifted a bit at the profile site. -- Microcystin ID: M110196",06/08/2011 10:40:00,9107,532,FLUORIDE DISSOLVED,,0.16,mg/L,0.02,,,,,358,0.02,26
ABS020,11SWE10900,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.74783,-110.58845,0,13,133,N,Air Temp: 16 degC. Wind Speed: 10.13 km/hr. Wind Dir: W. %Cloud: 0%. Waves: Ripples. -- Crystal clear - beautiful out. Saw loons. Rained the day prior. -- Microcystin ID#: M110197,08/16/2011 10:00:00,9107,532,FLUORIDE DISSOLVED,,0.2,mg/L,0.02,,,,,358,0.02,26
ABS020,11SWE11258,SAS,BAT,05FD,1,AB05FD0380,"ARM LAKE, COMPOSITE",52.74783,-110.58845,0,13,133,N,Wind Speed: 0 km/h. Wind Dir: N/A. %Cloud: 0%. Waves: N/A. -- Algae on top of the surface. Lots of dead dragonflies. -- Microcystin ID#: M110199,09/07/2011 09:15:00,9107,532,FLUORIDE DISSOLVED,,0.15,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE01740,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,"nice day, calm water, variable cloudyness affecting light readings",05/30/2011 11:15:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE01802,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,"Aphan in water column. Lots of poplar fuzz on water furface, some foam. Gammerus swimming around",06/21/2011 13:00:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
