ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS180,08SWE01305,SAS,NSA,05EB,1,AB05EB5210,"ADAMSON LAKE, COMPOSITE",53.61544,-112.92044,0,13,133,N,"No Winklers taken. COMPLETED DEPTH PROFILE WITH GPS, TAPE AND WIEGHT. NOTICED A LOT OF STIRRED UP VEG. IN AREAS 1.0M & LESS, WINDS CALMED DOWN AS DAY PROGRESSED. STARTED COLLECTING COMP WATER IN SHALLOW BASIN IN ORDER TO ENSURE WE WOULDN'T RUN OUT OF BATTERY POWER FOR THE MOTOR. DID PROFILE SITE TOWARDS END OF SAMPLING (COMP SITE #8) VEGETATION NOT AS DENSE IN THE SHALLOWS AS IN OSTER LAKE. SAW MOSTLY POTEMAGETON AND SOME GRASS-LIKE MACROPHYTES. NOTICED LOTS OF STAR DUCK-WEED OBSERVED (ESPECIALLY ON BOTTOM) FAR LESS ALGAE IN WATER COLUMN COMPARED TO OSTER LAKE. HARDER BOTTOM NEAR SHORE COMPARED TO OSTER.",06/25/2008 14:00:00,9107,532,FLUORIDE DISSOLVED,,0.19,mg/L,,,,,,358,0.02,26
ABS180,08SWE01719,SAS,NSA,05EB,1,AB05EB5210,"ADAMSON LAKE, COMPOSITE",53.61544,-112.92044,0,13,16,N,No Winklers taken. LOTS OF FILAMENTOUS ALGAE (APHAN). A FEW FLOATING MACROPHYTES. WATER LEVEL DOWN MAYBE AN INCH? USED CHLA BOTTLE TO FILL COMP JUB BECAUSE WATER DEPTH WAS ~1M ACROSS LAKE (DIPPED BOTTLE DOWN ~0.5 TO .75M) INSTALLED STAFF GAUGE JULY 25/08 WATER LEVEL: 0.605M.,07/24/2008 12:50:00,9107,532,FLUORIDE DISSOLVED,,0.18,mg/L,,,,,,358,0.02,26
ABS180,08SWE01936,SAS,NSA,05EB,1,AB05EB5210,"ADAMSON LAKE, COMPOSITE",53.61544,-112.92044,0,13,16,N,MORE AQUATIC VEG IN LITTORAL ZONES. 15-POINT COMP COLLECTED WITH CHLA BOTTLE. ULTRA TRACE Hg AND ICPMS TAKEN AT SURFACE AND AT 0.8M. STAFF GAUGE 0.548M @ 11:15MST.,08/13/2008 11:45:00,9107,532,FLUORIDE DISSOLVED,,0.2,mg/L,,,,,,358,0.02,26
ABS180,08SWE02463,SAS,NSA,05EB,1,AB05EB5210,"ADAMSON LAKE, COMPOSITE",53.61544,-112.92044,0,13,16,N,15-POINT COMP. No Winklers taken. WATER MUCH MURKIER FROM PRIOR VISIT.  WATER LEVEL NOTICABLY DOWN. VERY GREEN IN COLOR.  SPARSE DUCKWEED. LOTS OF GRASS-CLIPPING LIKE ALGAE (APHAN?). SAW SOME SMALL (5MM LONG) LEACHES (GLOSSOPHARIA SPP) AGAIN. COUPLE OF DEAD HEADS VISABLE AROUND POINT. STAFF GAUGE 0.470M @ 12:50 MST.  COLLECTED WITH CHLA BOTTLE SCOOPING ~30-60 CM.,09/09/2008 10:45:00,9107,532,FLUORIDE DISSOLVED,,0.2,mg/L,,,,,,358,0.02,26
ABS180,08SWE03594,SAS,NSA,05EB,1,AB05EB5210,"ADAMSON LAKE, COMPOSITE",53.61544,-112.92044,0,13,16,N,"15-POINT COMP. No Winklers taken. WATER LOOKS VERY MURKY, HAND COLLECTED COMP. SONDE'S BEEN WORKING VERY GOOD.  STAFF GAUGE 0.425M @ 12:15MST.",10/07/2008 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.23,mg/L,,,,,,358,0.02,26
ABS180,09SWE00146,SAS,NSA,05EB,1,AB05EB5220,"ADAMSON LAKE, PROFILE",53.61544,-112.92044,0,1,17,N,Only one depth of readings & samples taken (at 1.0m) due to lack of water depth. No Winklers taken. Water samples taken with Kemmerer; samples taken @ 0.90m. Sulfur smell stronger than at Oster (sampled earlier today). Color also a little darker than at Oster. May have been lightly touching bottom with Kemmerer? Snowing pretty good; eased off when leaving.,03/03/2009 13:15:00,9107,532,FLUORIDE DISSOLVED,,0.34,mg/L,,,,,,358,0.02,26
ABS002,83AB003854,MAC,ATH,07BK,1,AB07BK0240,"AGNES LAKE, COMPOSITE",54.91167,-114.975,0,13,,N,,10/26/1983 12:00:00,9107,532,FLUORIDE DISSOLVED,L,0.05,mg/L,,,,,,358,0.02,0
ABS002,87AB001981,MAC,ATH,07BK,1,AB07BK0240,"AGNES LAKE, COMPOSITE",54.91167,-114.975,0,13,,N,,10/07/1987 12:00:00,9107,532,FLUORIDE DISSOLVED,L,0.05,mg/L,,,,,,358,0.02,0
ABS002,96AB000713,SAS,RED,05CD,1,AB05CD1070,"ALIX LAKE, CENTRE COMPOSITE",52.39048,-113.19853,0,13,,N,,05/22/1996 14:30:00,9105,532,FLUORIDE DISSOLVED,,0.19,mg/L,,,,,,356,0.05,0
ABS027,96SWE00168,SAS,RED,05CD,1,AB05CD1070,"ALIX LAKE, CENTRE COMPOSITE",52.39048,-113.19853,0,13,133,N,"Light rain, water quite clear.  Debris in comp bucket but did not hit bottom.  More debris in water near outlet than inlet.",06/24/1996 14:15:00,9105,532,FLUORIDE DISSOLVED,,0.2,mg/L,0.05,,,,,356,0.05,23
