ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS001,84AB000007,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,15,,N,LB & RB composite,05/16/1984 11:45:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,,,,,,358,0.02,0
ABS001,84AB000008,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,15,,N,LB & RB composite,06/13/1984 13:05:00,9107,532,FLUORIDE DISSOLVED,,0.08,mg/L,,,,,,358,0.02,0
ABS001,84AB000009,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,15,,N,LB & RB composite,07/12/1984 10:45:00,9107,532,FLUORIDE DISSOLVED,,0.08,mg/L,,,,,,358,0.02,0
ABS001,84AB000010,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,15,,N,LB & RB composite,09/13/1984 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.09,mg/L,,,,,,358,0.02,0
ABS001,84AB000018,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,15,,N,LB & RB composite,10/25/1984 15:00:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,,,,,,358,0.02,0
ABS001,85AB000003,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,15,,N,LB & RB composite,02/04/1985 10:35:00,9107,532,FLUORIDE DISSOLVED,,0.16,mg/L,,,,,,358,0.02,0
ABS001,85AB000004,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,06/04/1985 09:20:00,9107,532,FLUORIDE DISSOLVED,,0.08,mg/L,,,,,,358,0.02,0
ABS001,85AB000005,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,06/04/1985 09:20:00,9107,532,FLUORIDE DISSOLVED,,0.07,mg/L,,,,,,358,0.02,0
ABS001,87AB000001,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,02/17/1987 11:00:00,9107,532,FLUORIDE DISSOLVED,,0.16,mg/L,,,,,,358,0.02,0
ABS001,87AB000002,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,05/27/1987 10:45:00,9107,532,FLUORIDE DISSOLVED,,0.09,mg/L,,,,,,358,0.02,0
ABS001,87AB000003,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,07/22/1987 12:30:00,9107,532,FLUORIDE DISSOLVED,,0.09,mg/L,,,,,,358,0.02,0
ABS001,87AB000004,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,09/22/1987 08:20:00,9107,532,FLUORIDE DISSOLVED,,0.11,mg/L,,,,,,358,0.02,0
ABS001,91AB000005,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,01/08/1991 12:30:00,9105,532,FLUORIDE DISSOLVED,,0.13,mg/L,,,,,,356,0.05,0
ABS001,91AB000006,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,03/11/1991 12:00:00,9105,532,FLUORIDE DISSOLVED,,0.16,mg/L,,,,,,356,0.05,0
ABS001,92AB000004,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,,N,,03/03/1992 11:00:00,9105,532,FLUORIDE DISSOLVED,,0.16,mg/L,,,,,,356,0.05,0
ABS034,03SWE00753,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,16,N,"Water Level quite high, some debris floating down river.  High turbidity.  New sample location, upstream of old site about 4km.",06/10/2003 12:30:00,9105,532,FLUORIDE DISSOLVED,L,0.05,mg/L,0.0500,,,,,356,0.05,23
ABS034,03SWE01033,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,16,N,ARCV dissolved metals not requested,07/08/2003 12:45:00,9105,532,FLUORIDE DISSOLVED," ",0.07,mg/L,0.0500,,,,,356,0.05,23
ABS034,03SWE01309,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,16,N,DOC missed on request sheet,08/14/2003 11:45:00,9105,532,FLUORIDE DISSOLVED," ",0.06,mg/L,0.0500,,,,,356,0.05,23
ABS034,03SWE01533,MAC,ATH,07AD,0,AB07AD0100,"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",53.36883,-117.72562,0,1,16,N,"High turbidity, medium colour, moderate flow",09/09/2003 11:20:00,9105,532,FLUORIDE DISSOLVED,L,0.05,mg/L,0.0500,,,,,356,0.05,23
